[prun] Master compute host = c51
[prun] Resource manager = slurm
[prun] Launch cmd = mpiexec.hydra -bootstrap slurm ./p1
[size]	[std_aveage]	[std_deviation]
32	0.005708	0.031128
64	0.005442	0.023658
256	0.007515	0.030290
1024	0.004732	0.023842
2048	0.001354	0.000747
4096	0.004616	0.018124
8192	0.005747	0.050423
16384	0.014695	0.004913
65536	0.036569	0.005338
262144	0.124829	0.005998
1048576	0.477617	0.008514
2097152	0.947723	0.012212
[size]	[std_aveage]	[std_deviation]
32	0.006400	0.030096
64	0.006248	0.024306
256	0.009516	0.034189
1024	0.004094	0.018976
2048	0.005240	0.025695
4096	0.003327	0.009380
8192	0.004687	0.028155
16384	0.015960	0.005914
65536	0.037475	0.004692
262144	0.125666	0.005904
1048576	0.478175	0.007908
2097152	0.948308	0.010829
[size]	[std_aveage]	[std_deviation]
32	0.008423	0.030071
64	0.006794	0.025314
256	0.011683	0.043778
1024	0.012474	0.044728
2048	0.011003	0.038618
4096	0.002194	0.000987
8192	0.003831	0.000999
16384	0.020361	0.151863
65536	0.036611	0.005426
262144	0.123992	0.006482
1048576	0.473132	0.008795
2097152	0.938692	0.011611
[size]	[std_aveage]	[std_deviation]
32	0.005302	0.026084
64	0.003255	0.012478
256	0.001897	0.000504
1024	0.002014	0.001291
2048	0.002189	0.010654
4096	0.008956	0.032012
8192	0.007681	0.122235
16384	0.016309	0.005076
65536	0.038351	0.004716
262144	0.128995	0.005197
1048576	0.491460	0.007913
2097152	0.974757	0.010901
